iter	Logloss
0	0.6916297094
1	0.6908074945
2	0.6887895274
3	0.6865106294
4	0.6856242898
5	0.6845611089
6	0.6832997855
7	0.6816949798
8	0.6804681549
9	0.6789267404
10	0.6776172629
11	0.6767956543
12	0.675635964
13	0.674994223
14	0.6740714489
15	0.6730647686
16	0.6719154272
17	0.6711037287
18	0.6699894287
19	0.6690752596
20	0.6677137994
21	0.6666873572
22	0.6652340103
23	0.664390187
24	0.6629347509
25	0.6608521159
26	0.6594841228
27	0.6580094924
28	0.6573217489
29	0.6560041808
30	0.6549034316
31	0.654031579
32	0.6532078419
33	0.6526562648
34	0.6519258221
35	0.6503972639
36	0.6496789087
37	0.6485274899
38	0.647920669
39	0.6466306253
40	0.6456842629
41	0.6451752107
42	0.6444005988
43	0.6430555627
44	0.6422385779
45	0.640717181
46	0.6396804413
47	0.638211303
48	0.6375405654
49	0.6365211248
50	0.6357988351
51	0.6347728168
52	0.6333908189
53	0.6322221762
54	0.6315680815
55	0.6307283435
56	0.6299694083
57	0.6290248716
58	0.6282439601
59	0.627655905
60	0.6267919973
61	0.6254223742
62	0.6246250346
63	0.62385304
64	0.6225529743
65	0.6213645767
66	0.6207352878
67	0.6202690957
68	0.6196855739
69	0.619113546
70	0.6181184524
71	0.617202317
72	0.6162367697
73	0.6156029306
74	0.6148102066
75	0.6136043845
76	0.6126871532
77	0.6119775765
78	0.6112896855
79	0.6103219177
80	0.6097804164
81	0.6088963087
82	0.6085308485
83	0.6072558244
84	0.6067706475
85	0.606172707
86	0.6052296338
87	0.6047623826
88	0.6037213967
89	0.6031515003
90	0.6023659802
91	0.601557901
92	0.6007665348
93	0.59971918
94	0.5991339929
95	0.5980269267
96	0.5969752302
97	0.5966309964
98	0.5959371503
99	0.5947667963
100	0.5941650899
101	0.5934817317
102	0.5918873348
103	0.5917593289
104	0.5903530971
105	0.5899557167
106	0.5894063082
107	0.5883432162
108	0.5877877574
109	0.5868973814
110	0.5862354759
111	0.5853151447
112	0.5843040748
113	0.5832292371
114	0.5820926895
115	0.5814228048
116	0.5799550824
117	0.5793021692
118	0.5786944218
119	0.5784104452
120	0.5772683372
121	0.5767410662
122	0.575998668
123	0.5757004828
124	0.5747777005
125	0.5739536286
126	0.5733587231
127	0.5732494188
128	0.5727825351
129	0.5714775745
130	0.5710353513
131	0.5702386007
132	0.5696095111
133	0.5689742924
134	0.568285965
135	0.567771595
136	0.5671074655
137	0.5666647943
138	0.5654106275
139	0.5646013854
140	0.5640321991
141	0.5635542425
142	0.5629267457
143	0.5622217482
144	0.5616547725
145	0.5613287754
146	0.5608418639
147	0.5605278447
148	0.5589377584
149	0.5577717484
150	0.5568446358
151	0.5565332558
152	0.5562084765
153	0.5554389503
154	0.555071899
155	0.5547456013
156	0.5540833541
157	0.5534706097
158	0.5531452536
159	0.5521971662
160	0.5514868308
161	0.5510523697
162	0.550797819
163	0.5502289448
164	0.5495170744
165	0.5488677043
166	0.5483245553
167	0.5480576649
168	0.5476097466
169	0.5472165172
170	0.5467380619
171	0.5464214593
172	0.5457033941
173	0.5451735554
174	0.5446539092
175	0.5440290799
176	0.543579509
177	0.5423001778
178	0.5415206996
179	0.5401841222
180	0.5393751783
181	0.5390137808
182	0.5385985606
183	0.5379662376
184	0.5376857309
185	0.5371905125
186	0.5364187707
187	0.5359111351
188	0.5349886485
189	0.5339991893
190	0.533435311
191	0.5327622988
192	0.5317520866
193	0.5314081421
194	0.5311278757
195	0.53065012
196	0.5301603291
197	0.5296946735
198	0.5293330066
199	0.5288530017
200	0.5281654849
201	0.5279212388
202	0.52730293
203	0.52705944
204	0.5264423978
205	0.5260719853
206	0.5253945197
207	0.5247808567
208	0.5245825317
209	0.5243230401
210	0.5235897681
211	0.5227102742
212	0.5223342069
213	0.5217506035
214	0.5215821994
215	0.5209206917
216	0.5203772839
217	0.5196952196
218	0.5192006396
219	0.5185244008
220	0.5177695108
221	0.51667577
222	0.5165003261
223	0.5161994222
224	0.5156126567
225	0.5145265541
226	0.5139923086
227	0.5137368622
228	0.5128462357
229	0.5119489598
230	0.5117982391
231	0.511366747
232	0.5109736871
233	0.5102540603
234	0.5095285489
235	0.5087946032
236	0.5078042593
237	0.5073537808
238	0.5067234906
239	0.5063266728
240	0.5061078124
241	0.5050688674
242	0.5045223092
243	0.5042441195
244	0.5035180435
245	0.503104297
246	0.5026191461
247	0.5022057167
248	0.5011999577
249	0.4998886507
250	0.4994301516
251	0.4992383729
252	0.4986436418
253	0.4979882528
254	0.497248102
255	0.4969468934
256	0.4966677516
257	0.4963923811
258	0.4958969306
259	0.4955987664
260	0.4946514943
261	0.4942292461
262	0.4937877312
263	0.4930410299
264	0.4929131106
265	0.4927755967
266	0.4922583289
267	0.4915178131
268	0.4911456566
269	0.4910019421
270	0.4897757294
271	0.4893673511
272	0.4886702535
273	0.4881364051
274	0.4879809185
275	0.4877082296
276	0.4870557411
277	0.4868022383
278	0.4861736365
279	0.4856489927
280	0.4853840999
281	0.4849923027
282	0.4844112179
283	0.4837351867
284	0.483389891
285	0.4830426818
286	0.4827728773
287	0.4822106057
288	0.481518324
289	0.4809603761
290	0.4805591901
291	0.4801051716
292	0.4791949118
293	0.4788661772
294	0.4780989677
295	0.4777817283
296	0.4776317232
297	0.4770785801
298	0.4767876477
299	0.4763008241
300	0.4759749148
301	0.4752633167
302	0.4748520642
303	0.4744439826
304	0.4731280973
305	0.4726958812
306	0.4725093772
307	0.4723389735
308	0.4720658205
309	0.4717272319
310	0.4709440014
311	0.4704716618
312	0.4699166038
313	0.4693790627
314	0.4688817305
315	0.4686172669
316	0.4683536282
317	0.468242755
318	0.4677741996
319	0.4674067259
320	0.466973764
321	0.4664709934
322	0.4657438
323	0.4652279164
324	0.4646524876
325	0.4642842793
326	0.4637270242
327	0.4635586152
328	0.4631993495
329	0.4629845104
330	0.4624576274
331	0.4619823076
332	0.461377657
333	0.4607769641
334	0.4606350687
335	0.4601805831
336	0.4593092313
337	0.459154627
338	0.4583250143
339	0.4575205316
340	0.4566822613
341	0.4563886336
342	0.4558691361
343	0.4551222851
344	0.4547797919
345	0.454470117
346	0.4542771974
347	0.4537251762
348	0.4536140186
349	0.453200331
350	0.4529637304
351	0.4524838586
352	0.4521351563
353	0.4512260408
354	0.450653307
355	0.4504570593
356	0.4503897678
357	0.4502146343
358	0.4500565342
359	0.4499490368
360	0.4496689831
361	0.4491563368
362	0.4485243024
363	0.4482202745
364	0.4476448295
365	0.4470830364
366	0.4458106804
367	0.4457178233
368	0.4454471646
369	0.4450883319
370	0.4448555056
371	0.4444791991
372	0.4440179655
373	0.4437790827
374	0.4437499181
375	0.4431197854
376	0.4427110695
377	0.4422367203
378	0.4418309665
379	0.4413052831
380	0.4410805704
381	0.4402984832
382	0.4397159804
383	0.439480872
384	0.4392504562
385	0.4389626599
386	0.4385571393
387	0.438309047
388	0.4376625371
389	0.437592309
390	0.4373967141
391	0.4370763954
392	0.4366189821
393	0.4363988831
394	0.4360383173
395	0.4351252467
396	0.434799104
397	0.4344899445
398	0.4343637278
399	0.4340333216
400	0.4329493448
401	0.4324277511
402	0.4321051068
403	0.4317263397
404	0.4315609054
405	0.4313018304
406	0.4308639234
407	0.4305501587
408	0.4301702182
409	0.4297821565
410	0.4294318582
411	0.429022451
412	0.4285355771
413	0.4277625341
414	0.4268473505
415	0.4263530304
416	0.4260410873
