iter	Passed	Remaining
0	29	26220
1	56	25632
2	83	24993
3	113	25582
4	143	25722
5	172	25806
6	203	26029
7	236	26445
8	266	26530
9	295	26398
10	324	26356
11	355	26450
12	386	26509
13	417	26514
14	449	26611
15	477	26526
16	506	26434
17	537	26444
18	563	26253
19	590	26118
20	621	26117
21	647	25962
22	675	25885
23	703	25781
24	727	25588
25	755	25505
26	780	25350
27	807	25273
28	832	25118
29	859	25033
30	886	24961
31	912	24856
32	936	24728
33	962	24623
34	987	24521
35	1013	24433
36	1039	24358
37	1065	24286
38	1091	24217
39	1118	24160
40	1140	24013
41	1162	23859
42	1182	23673
43	1203	23527
44	1223	23350
45	1243	23188
46	1266	23089
47	1287	22951
48	1308	22829
49	1328	22695
50	1348	22559
51	1368	22426
52	1391	22339
53	1412	22233
54	1432	22111
55	1453	22012
56	1474	21914
57	1495	21817
58	1516	21717
59	1539	21659
60	1563	21609
61	1586	21548
62	1607	21463
63	1631	21416
64	1653	21341
65	1675	21267
66	1696	21191
67	1717	21120
68	1739	21049
69	1762	20994
70	1783	20924
71	1804	20854
72	1825	20781
73	1846	20708
74	1869	20665
75	1893	20629
76	1915	20570
77	1936	20510
78	1959	20462
79	1982	20417
80	2002	20347
81	2026	20315
82	2047	20252
83	2070	20209
84	2092	20165
85	2115	20121
86	2137	20076
87	2160	20037
88	2181	19976
89	2202	19920
90	2224	19875
91	2247	19833
92	2268	19783
93	2291	19749
94	2311	19686
95	2334	19645
96	2355	19595
97	2376	19544
98	2399	19511
99	2419	19455
100	2440	19404
101	2460	19349
102	2483	19311
103	2488	19143
104	2509	19094
105	2531	19060
106	2551	19008
107	2572	18958
108	2592	18908
109	2615	18878
110	2636	18833
111	2656	18782
112	2676	18736
113	2697	18692
114	2717	18644
115	2737	18598
116	2757	18550
117	2779	18512
118	2800	18474
119	2821	18434
120	2843	18398
121	2864	18359
122	2900	18418
123	2923	18387
124	2944	18350
125	2980	18404
126	3001	18361
127	3004	18214
128	3024	18170
129	3044	18126
130	3066	18097
131	3088	18065
132	3109	18027
133	3130	17987
134	3152	17956
135	3174	17927
136	3194	17885
137	3217	17856
138	3239	17828
139	3260	17790
140	3281	17755
141	3302	17720
142	3323	17686
143	3346	17662
144	3367	17624
145	3390	17603
146	3413	17577
147	3436	17554
148	3457	17517
149	3478	17485
150	3499	17451
151	3533	17483
152	3554	17448
153	3574	17409
154	3585	17325
155	3608	17300
156	3628	17264
157	3652	17244
158	3673	17211
159	3694	17178
160	3717	17156
161	3738	17122
162	3760	17096
163	3784	17074
164	3805	17043
165	3825	17005
166	3845	16971
167	3865	16936
168	3887	16907
169	3907	16872
170	3929	16845
171	3949	16809
172	3970	16778
173	3990	16743
174	4011	16711
175	4032	16681
176	4053	16650
177	4077	16631
178	4099	16605
179	4121	16577
180	4145	16558
181	4167	16533
182	4192	16518
183	4214	16492
184	4238	16471
185	4261	16450
186	4284	16426
187	4306	16401
188	4328	16375
189	4352	16356
190	4376	16337
191	4398	16310
192	4419	16280
193	4440	16250
194	4460	16219
195	4481	16189
196	4502	16158
197	4522	16127
198	4543	16096
199	4563	16064
200	4584	16033
201	4606	16007
202	4625	15974
203	4646	15943
204	4668	15919
205	4688	15886
206	4708	15855
207	4731	15832
208	4753	15805
209	4774	15779
210	4795	15750
211	4816	15721
212	4837	15694
213	4859	15668
214	4880	15640
215	4900	15610
216	4922	15585
217	4945	15561
218	4966	15533
219	4987	15506
220	5008	15477
221	5029	15451
222	5052	15429
223	5072	15400
224	5094	15374
225	5114	15344
226	5138	15325
227	5159	15296
228	5180	15270
229	5203	15249
230	5224	15220
231	5246	15195
232	5266	15167
233	5288	15141
234	5311	15120
235	5332	15094
236	5355	15073
237	5379	15053
238	5400	15026
239	5423	15006
240	5455	15007
241	5478	14986
242	5499	14959
