pass_id,emd_lable2,mdl_influence_dense,tkt_avg_amt_y3_dense,tkt_all_amt_y3_dense,tkt_3y_amt_dense,tkt_i_amt_y3_dense,tkt_avg_amt_y2_dense,tkt_all_amt_y2_dense,tkt_i_amt_y2_dense,avg_dist_cnt_y3_dense,tkt_d_amt_y3_dense,avg_dist_cnt_y2_dense,dist_cnt_y2_dense,tkt_d_amt_y2_dense,dist_all_cnt_y3_dense,dist_cnt_y3_dense,tkt_avg_amt_y1_dense,dist_all_cnt_y2_dense,tkt_all_amt_y1_dense,pref_line_y3_1_distance_weighted_dense,pax_tax_dense,tkt_i_amt_y1_dense,tkt_avg_interval_y3_dense,pref_line_y2_1_distance_weighted_dense,avg_dist_cnt_y1_dense,dist_i_cnt_y3_dense,tkt_avg_interval_y2_dense,tkt_d_amt_y1_dense,dist_i_cnt_y2_dense,avg_pref_city_radius_y3_dense,avg_pref_city_radius_y2_dense,pax_fcny_dense,dist_cnt_y1_dense,dist_d_cnt_y3_dense,pref_line_y1_1_distance_weighted_dense,dist_all_cnt_y1_dense,avg_pref_orig_radius_y2_dense,dist_d_cnt_y2_dense,avg_pref_city_radius_y1_dense,avg_pref_orig_radius_y3_dense,avg_pref_orig_radius_y1_dense,dist_i_cnt_y1_dense,tkt_avg_interval_y1_dense,dist_d_cnt_y1_dense,diff_recent_flt_day_dense,cabin_hy_y_rate_y3_dense,select_seat_cnt_y2_dense,seat_walkway_cnt_y2_dense,seat_walkway_cnt_y3_dense,flt_leg_cnt_y2_dense,prebuy_d_cnt_y3_d14_dense,tkt_book_cnt_y1_dense,tkt_book_cnt_y3_dense,flt_leg_i_cnt_y3_dense,flt_leg_d_cnt_y3_dense,flt_cnt_y3_dense,cabin_hf_f_rate_y3_dense,cabin_c_rate_y3_dense,seat_middle_cnt_y2_dense,flt_bag_cnt_y3_dense,flt_leg_cnt_y1_dense,flt_leg_cnt_y3_dense,prebuy_d_cnt_y1_d14_dense,prebuy_d_cnt_y2_d3_dense,prebuy_d_cnt_y2_d7_dense,prebuy_d_cnt_y3_d7_dense,prebuy_i_cnt_y2_d99_dense,prebuy_i_cnt_y3_d99_dense,tkt_book_cnt_y2_dense,mdl_mcv_dense,seg_route_to_SYD_sparse,seg_route_to_LAX_sparse,seg_route_to_JFK_sparse,AB1015,AB1014,AB1013,AB1010,AB1009,AB1008,AB1007,AB1006,seg_cabin_Y_sparse,seg_cabin_W_sparse,seg_cabin_J_sparse,seg_cabin_C_sparse,festival_seg_zero_sparse,festival_seg_Tomb-sweepingDay_sparse,festival_seg_SpringFestival_sparse,festival_seg_NewYearsDay_sparse,festival_seg_NationalDay_sparse,festival_seg_Mid-autumnFestival_sparse,festival_seg_LabourDay_sparse,festival_seg_DragonBoatFestival_sparse,season_seg_dep_time_fall_sparse,season_seg_dep_time_spring_sparse,season_seg_dep_time_summer_sparse,season_seg_dep_time_winter_sparse,flt_leg_i_cnt_y1_dense
19248,0,15.43409264,82.26582667,63.47158,2361.82,43.70544,52.84635467,63.47158,43.70544,5308.421025,19.76614,6142.129796,19783,2.54178,26478,26478,0,26478,0,6883,430.43,0,0,5377,0,26478,0,0,26478,5936,5936,339,0,0,0,0,1061,0,0,2439,0,0,0,0,719,0,0,1,1,2,0,0,0,2,0,2,0,0,1,2,0,2,0,0,0,0,1,1,0,33,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
19249,0,17.17548458,77.99666,68.85566,3315.81,43.88654,49.930679,68.85566,43.88654,5010.141317,24.96912,4613.629821,26786.5,7.56434,34351,34351,0,18819,0,5096,271.07,0,0,5269,0,25698,0,0,16998,2512,3932,297,0,8653,0,0,1478,1821,0,1665,0,0,0,0,727,0,0,2,4,3,0,0,0,3,0,3,0,0,1,6,0,8,0,0,0,3,2,3,0,45,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
19250,0,20.41971641,285.4558666,2112.55798,47229.49,44.62666,221.1751986,2112.55798,44.62666,5322.618353,2067.93132,5980.211622,68424.5,2067.93132,107205,107205,52.98091953,77561,173.1165,7086,250.41,44.62666,0,7413,4679.026459,107205,0,91.3326,77561,5721,5721,1454,29644,0,6795,25935,1223,0,3907,2402,1450,25935,0,0,654,0,0,6,10,10,0,0,0,14,0,14,0,0,0,14,4,14,0,0,0,0,10,14,0,40,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4
19251,0,18.70061679,92.93302833,82.25922,9132.38,46.04128,49.77211562,82.25922,46.04128,5350.417019,36.21794,5087.225778,35706.5,9.2953,54013,54013,0,36613,0,6233,244.16,0,76142.68717,6277,0,52020,75765.72651,0,34620,4081,4081,951,0,1993,0,0,1099,1993,0,2272,0,0,0,0,812,1,0,4,6,5,0,0,3,6,0,6,0,0,1,4,0,7,0,1,0,0,2,4,3,56,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19252,0,16.12906254,82.14514,62.75518,4434.64,40.4519,54.39905867,62.75518,40.4519,4956.620095,22.30328,4450.144757,11587.5,8.90056,23175,23175,0,23175,0,4862,301.31,0,0,4882,0,21675,0,0,21675,2808,2808,700,0,1500,0,0,1286,1500,0,1789,0,0,0,0,885,1,0,2,2,4,0,0,0,2,0,2,0,0,2,2,0,4,0,0,0,0,2,2,0,28,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19253,0,41.3639026,1326.178,19892.67,10213.72748,16762.17,1326.178,19892.67,16762.17,5117.6,3130.5,5117.6,3642.715,3130.5,10927,7056,1026.892,10927,15403.38,7510,173.86,13622.88,0,7510,5218.545455,3766,0,1780.5,3766,3329,3287,1971,2389,7161,7510,8468,3022,7161,3379,3022,3022,3266,0,5202,347,1,0,0,0,0,0,0,0,8,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,150,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6
19254,0,16.26455504,81.59169333,61.62518,2741.46,39.02518,52.647947,61.62518,39.02518,5265.950516,22.6,5019.407663,9498,7.38558,18996,18996,0,18996,0,4768,157.72,0,0,4790,0,17401,0,0,17401,3941,3941,397,0,1595,0,0,1065,1595,0,2317,0,0,0,0,937,0,0,2,2,3,0,0,0,2,0,2,0,0,1,2,0,3,0,0,0,0,2,2,0,27,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19255,0,18.50284214,478.29,3826.32,771.8612,3826.32,0,0,0,6118.75,0,0,0,0,948,575,0,0,0,7223,293.26,0,0,0,0,948,0,0,0,3931,0,230,0,0,0,0,0,0,0,3777,0,0,0,0,1322,1,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
19256,0,14.58936238,1176.825,2353.65,2353.65,2353.65,1176.825,2353.65,2353.65,13239,0,13239,13239,0,26478,26478,0,26478,0,14838,454.16,0,0,14838,0,26478,0,0,26478,5936,5936,355,0,0,0,0,5936,0,0,5936,0,0,0,0,850,1,0,2,2,2,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,2,2,0,20,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
19257,0,18.60651712,76.43079,59.5665,9004.45,38.51434,0,0,0,5821.941967,21.05216,0,0,0,27157,27157,0,0,0,9255,253.66,0,0,0,0,25934,0,0,0,5936,0,1193,0,1223,0,0,0,0,0,2417,0,0,0,0,1249,0,0,0,3,0,0,0,0,2,0,2,0,0,0,2,0,3,0,0,0,0,0,2,0,30,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
